CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highsolar_base,NJ,20382.0,92732512.43,691620125.34,324142.38,34519401.72,21589.0,105710292.57,848701812.51,28019.78,13802100.88,28265.0,130848050.0,886166767.45,89926.07,11654133.56
highsolar_ces,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,886324462.8,107267.02,11730641.56
highsolar_cesccs,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,726604043.87,92579.32,10381722.25
highsolar_cesccstech,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,725857679.89,70376.31,10121027.42
highsolar_cesccstechnuc35,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,838790315.45,42592.35,13805756.69,28265.0,130848050.0,724111779.61,53316.54,10008379.55
highsolar_cesccstechnuc45,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,724306333.56,43786.09,9962501.62
highsolar_cesccstechret,NJ,20382.0,92732512.43,691159626.43,327420.32,34600549.56,21589.0,105710292.57,842344322.46,34469.48,13800122.37,28265.0,130848050.0,722949095.83,1830.5,9927608.65
highsolar_cesincccstech,NJ,20382.0,92732512.43,695120769.03,274449.53,34034276.48,21589.0,105710292.57,861118529.23,70643.55,13819611.24,28265.0,130848050.0,806950786.05,78894.85,12540633.29
highsolar_cesincccstechinstate,NJ,20382.0,92732512.43,691573397.9,320494.83,34479436.2,21589.0,105710292.57,842467270.08,26045.3,13800944.22,28265.0,130848050.0,799852172.63,80325.83,10618439.35
highsolar_cesinstate50,NJ,20382.0,92732512.43,694988897.38,314160.06,34398257.38,21589.0,105710292.57,866351768.06,23672.97,13800089.64,28265.0,130848050.0,908368881.7,21715.04,17578379.33